Rank,99th,95th,90th,80th,50th
1,1.073093769565854,0.9663340433094196,0.8499432921175214,0.7032198278842963,0.46522808434472834
2,0.9976101056024709,0.8696196458542315,0.782169178864897,0.6641494620930133,0.38314771088434324
3,1.119900176647004,0.972511507075618,0.8151676256437561,0.6224925540793016,0.363563886337692
4,1.000041495218355,0.8708151766528119,0.7875362371051574,0.6582364528191138,0.4046923989939605
5,1.0131677358406377,0.9225021316429945,0.8020472409624467,0.6529746808997317,0.3788938596915281
6,1.0101156493153711,0.8836226289540293,0.780564296072329,0.6753725155081726,0.41048896982866173
7,1.1322580756785399,0.9719666331217496,0.8670564712182298,0.7022533717896915,0.4126793156328222
8,1.1492416580591722,0.9815158442788338,0.8550055112355418,0.6711462169676702,0.36172177792780097
9,0.9590822027072053,0.8488316724933125,0.7596915299940703,0.6368526472370388,0.36355632884950606
10,0.9543814113694222,0.8611366758700927,0.7471305004067278,0.5975074677845181,0.3523247675286152
11,1.0791326128019267,0.9792975474153968,0.8547973423632187,0.6399013918817177,0.38139971830627917
12,1.0533739421066928,0.9498907852106988,0.8428698591137793,0.682272717583076,0.41471326946471393
13,0.9731662030545799,0.8829932640670631,0.8092912693373325,0.6739587306634103,0.41025129158056084
14,1.0378603510493492,0.9176474091603019,0.8163516725394392,0.6435263065267977,0.39982644857282706
15,1.0130421564184866,0.8899030206404378,0.7882158256131927,0.6601854602608324,0.414569874757913
16,1.2373679364302412,1.0973420852865998,0.9555013570842317,0.7937668956099476,0.40183438864024373
17,1.0845132178610557,0.9589312392727292,0.8634945095766736,0.6970604174677281,0.41059497276041695
18,1.0228770242460783,0.8939502343640917,0.7711168177209644,0.6439303603719269,0.3986302484293637
19,1.0114623659117359,0.9068794648377801,0.7906259584398282,0.6654553179001552,0.42110517627126787
20,1.0818419488736093,0.962390476870011,0.8352366172045377,0.6616033074934629,0.386652743104398
21,1.0587955128821454,0.9264509612764269,0.8218736080022548,0.6551528441800026,0.3816698640220932
22,1.1273959291176618,0.9700846788611626,0.8111600198927723,0.673745068031756,0.388436013723592
23,1.085297985028528,0.9861778799874629,0.8622001820673637,0.7160384494364104,0.4182530633916016
24,1.0427330851210515,0.9017089366598554,0.8122565863883112,0.7017865359909833,0.41291492819683173
25,0.9187463316399229,0.855886280374142,0.7629822556449027,0.6353217537758385,0.37044686059436727
26,0.9668322201865513,0.8631906168289171,0.7625132140154955,0.633338473151852,0.38992710430953503
27,1.0593677907725343,0.9375929227662255,0.809372624711862,0.6470547097099787,0.37790303568570205
28,1.1287511610561227,0.9605450788552095,0.854022876619203,0.7222577726315665,0.42142734957468947
29,1.0241293267379545,0.893699541388289,0.7578924714606672,0.6032602498514887,0.3816396371957617
30,1.064126939671081,0.9141235488038656,0.8000416194705744,0.6413402594656425,0.3726481670955889
31,1.3259821707844235,1.0102754812401014,0.8604681384529884,0.6871502171108833,0.3912800094779703
