Rank,99th,95th,90th,80th,50th
1,2.5730937695658533,2.4663340433094194,2.3499432921175214,2.203219827884296,1.965228084344728
2,2.4476101056024713,2.3196196458542317,2.232169178864898,2.1141494620930135,1.8331477108843435
3,2.519900176647004,2.3725115070756178,2.2151676256437565,2.0224925540793017,1.7635638863376921
4,2.3500414952183553,2.220815176652812,2.137536237105157,2.008236452819114,1.7546923989939602
5,2.3131677358406377,2.2225021316429947,2.102047240962447,1.9529746808997315,1.678893859691528
6,2.260115649315371,2.1336226289540288,2.030564296072329,1.9253725155081725,1.6604889698286618
7,2.33225807567854,2.1719666331217495,2.0670564712182298,1.9022533717896914,1.6126793156328225
8,2.2992416580591724,2.1315158442788342,2.005005511235542,1.8211462169676702,1.511721777927801
9,2.0590822027072053,1.9488316724933126,1.8596915299940704,1.7368526472370391,1.4635563288495064
10,2.0043814113694225,1.911136675870093,1.7971305004067277,1.647507467784518,1.4023247675286152
11,2.0791326128019265,1.9792975474153967,1.8547973423632191,1.639901391881718,1.3813997183062792
12,2.003373942106693,1.8998907852106988,1.7928698591137795,1.6322727175830758,1.3647132694647142
13,1.8731662030545801,1.7829932640670634,1.7092912693373326,1.5739587306634104,1.3102512915805609
14,1.8878603510493492,1.7676474091603018,1.6663516725394394,1.4935263065267976,1.2498264485728272
15,1.8130421564184869,1.6899030206404382,1.5882158256131929,1.4601854602608324,1.2145698747579132
16,1.9873679364302412,1.8473420852865998,1.7055013570842315,1.5437668956099475,1.1518343886402436
17,1.784513217861056,1.6589312392727293,1.563494509576674,1.397060417467728,1.110594972760417
18,1.6728770242460782,1.543950234364092,1.4211168177209643,1.2939303603719268,1.0486302484293637
19,1.6114623659117364,1.50687946483778,1.3906259584398286,1.2654553179001553,1.0211051762712677
20,1.6318419488736091,1.5123904768700112,1.3852366172045376,1.2116033074934631,0.9366527431043978
21,1.5587955128821454,1.4264509612764271,1.3218736080022546,1.1551528441800025,0.8816698640220932
22,1.5773959291176618,1.4200846788611623,1.2611600198927724,1.1237450680317562,0.838436013723592
23,1.4852979850285282,1.386177879987463,1.2622001820673638,1.1160384494364102,0.8182530633916016
24,1.392733085121052,1.2517089366598557,1.1622565863883112,1.0517865359909833,0.7629149281968316
25,1.2187463316399225,1.155886280374142,1.0629822556449027,0.9353217537758385,0.6704468605943673
26,1.2168322201865513,1.113190616828917,1.0125132140154955,0.8833384731518519,0.639927104309535
27,1.2593677907725345,1.1375929227662254,1.009372624711862,0.8470547097099786,0.577903035685702
28,1.2787511610561226,1.1105450788552094,1.0040228766192032,0.8722577726315665,0.5714273495746895
29,1.1241293267379544,0.993699541388289,0.8578924714606672,0.7032602498514887,0.48163963719576164
30,1.1141269396710811,0.9641235488038655,0.8500416194705742,0.6913402594656426,0.4226481670955888
31,1.3259821707844235,1.0102754812401014,0.8604681384529884,0.6871502171108833,0.3912800094779703
